series,seed,r0,r10,r25,r50,r75,r100
curve_ours,0,73.44,72.89,72.77,69.3,70.17,69.66
curve_ours,1,75.32,74.19,71.46,71.57,71.96,68.68
curve_ours,2,78.24,76.46,75.44,73.4,70.48,70.37
curve_ours,42,74.22,75.18,73.48,68.63,67.92,63.39
curve_ours,123,72.37,72.33,72.1,69.87,69.29,68.8
curve_adafuse,0,75.6,74.76,70.77,67.2,64.35,58.36
curve_adafuse,1,75.32,73.77,71.96,64.04,61.1,52.81
curve_adafuse,2,77.44,72.68,74.65,68.97,66.48,57.82
curve_adafuse,42,76.76,72.42,68.41,62.73,53.07,53.25
curve_adafuse,123,75.0,73.61,69.8,68.21,62.69,64.72
