series,seed,p0,p25,p50,p75,p90,p100
frame_cgma,0,77.55,77.08,76.81,73.46,72.56,68.79
frame_cgma,1,75.91,76.8,75.88,65.64,66.06,67.52
frame_cgma,2,72.89,72.44,73.05,73.32,70.15,67.85
frame_cgma,42,72.21,72.41,73.97,71.98,71.2,68.16
frame_cgma,123,73.63,74.75,73.32,69.45,66.67,65.68
frame_Naive,0,78.05,49.22,26.05,10.2,8.33,
frame_Naive,1,74.45,49.03,25.35,8.29,4.26,
frame_Naive,2,74.69,55.91,20.29,7.33,13.2,
frame_Naive,42,77.3,52.27,30.91,7.33,4.28,
frame_Naive,123,78.93,50.77,24.53,7.29,11.34,
frame_Zero-fill,0,76.96,30.36,6.32,4.28,6.32,
frame_Zero-fill,1,76.21,52.36,40.49,30.97,24.66,
frame_Zero-fill,2,75.62,35.09,15.92,6.28,8.21,
frame_Zero-fill,42,73.99,58.58,43.77,39.13,36.43,
frame_Zero-fill,123,76.36,40.48,13.0,5.29,5.29,
frame_Missing-token,0,78.53,54.55,22.75,9.23,11.22,
frame_Missing-token,1,76.53,54.98,42.59,35.34,36.86,
frame_Missing-token,2,75.76,47.37,37.34,37.13,33.61,
frame_Missing-token,42,75.45,58.94,42.91,34.71,33.74,
frame_Missing-token,123,75.98,54.11,39.52,25.89,23.15,
frame_AE,0,74.25,43.24,28.32,16.11,17.59,
frame_AE,1,73.35,60.59,45.69,17.65,11.22,
frame_AE,2,76.61,63.29,51.41,45.69,39.68,
frame_AE,42,76.09,70.34,43.62,15.92,16.67,
frame_AE,123,76.49,46.27,24.41,18.72,13.27,
frame_MMIN,0,76.17,61.73,54.9,51.68,54.55,
frame_MMIN,1,74.5,54.74,37.7,28.44,24.88,
frame_MMIN,2,74.68,38.49,31.86,49.06,48.78,
frame_MMIN,42,75.66,35.5,14.93,10.26,13.86,
frame_MMIN,123,75.49,58.36,46.22,34.63,23.64,
frame_Naive+Aug,0,77.31,75.18,74.76,74.94,74.94,
frame_Naive+Aug,1,76.09,75.83,73.1,71.73,67.97,
frame_Naive+Aug,2,77.0,75.0,74.61,71.28,64.72,
frame_Naive+Aug,42,77.61,76.1,75.97,74.88,70.74,
frame_Naive+Aug,123,77.18,74.79,71.98,60.33,47.97,
