method,pv,pa,f1_mean3seed
ours,0.0,0.0,75.22
ours,0.0,0.2,75.55
ours,0.0,0.4,74.83
ours,0.0,0.6,74.29
ours,0.0,0.8,73.4
ours,0.0,1.0,72.55
ours,0.2,0.0,74.98
ours,0.2,0.2,74.45
ours,0.2,0.4,73.49
ours,0.2,0.6,72.27
ours,0.2,0.8,72.09
ours,0.2,1.0,71.6
ours,0.4,0.0,75.29
ours,0.4,0.2,75.16
ours,0.4,0.4,73.36
ours,0.4,0.6,73.07
ours,0.4,0.8,72.08
ours,0.4,1.0,70.63
ours,0.6,0.0,74.42
ours,0.6,0.2,74.05
ours,0.6,0.4,70.9
ours,0.6,0.6,69.69
ours,0.6,0.8,65.21
ours,0.6,1.0,62.98
ours,0.8,0.0,70.6
ours,0.8,0.2,68.18
ours,0.8,0.4,60.56
ours,0.8,0.6,51.92
ours,0.8,0.8,40.93
ours,0.8,1.0,34.7
ours,1.0,0.0,68.16
ours,1.0,0.2,67.48
ours,1.0,0.4,64.32
ours,1.0,0.6,45.81
ours,1.0,0.8,24.46
ours,1.0,1.0,22.18
adafuse,0.0,0.0,75.68
adafuse,0.0,0.2,74.94
adafuse,0.0,0.4,74.8
adafuse,0.0,0.6,74.27
adafuse,0.0,0.8,72.3
adafuse,0.0,1.0,72.99
adafuse,0.2,0.0,53.67
adafuse,0.2,0.2,53.64
adafuse,0.2,0.4,52.32
adafuse,0.2,0.6,50.43
adafuse,0.2,0.8,49.76
adafuse,0.2,1.0,49.02
adafuse,0.4,0.0,35.65
adafuse,0.4,0.2,34.65
adafuse,0.4,0.4,33.35
adafuse,0.4,0.6,31.44
adafuse,0.4,0.8,30.33
adafuse,0.4,1.0,25.73
adafuse,0.6,0.0,18.59
adafuse,0.6,0.2,15.06
adafuse,0.6,0.4,16.84
adafuse,0.6,0.6,16.24
adafuse,0.6,0.8,12.56
adafuse,0.6,1.0,9.09
adafuse,0.8,0.0,6.98
adafuse,0.8,0.2,6.31
adafuse,0.8,0.4,5.98
adafuse,0.8,0.6,4.56
adafuse,0.8,0.8,5.24
adafuse,0.8,1.0,3.49
adafuse,1.0,0.0,9.52
adafuse,1.0,0.2,8.51
adafuse,1.0,0.4,6.59
adafuse,1.0,0.6,4.2
adafuse,1.0,0.8,3.36
adafuse,1.0,1.0,0.0
