variant,seed,r,w_video
CGMA,0,0.0,0.012
CGMA,0,0.1,0.226
CGMA,0,0.25,0.356
CGMA,0,0.5,0.597
CGMA,0,0.75,0.818
CGMA,0,1.0,0.993
CGMA,1,0.0,0.179
CGMA,1,0.1,0.311
CGMA,1,0.25,0.34
CGMA,1,0.5,0.515
CGMA,1,0.75,0.855
CGMA,1,1.0,0.989
CGMA,42,0.0,0.036
CGMA,42,0.1,0.159
CGMA,42,0.25,0.265
CGMA,42,0.5,0.502
CGMA,42,0.75,0.709
CGMA,42,1.0,0.981
no_frameaug,0,0.0,0.004
no_frameaug,0,0.1,0.955
no_frameaug,0,0.25,0.977
no_frameaug,0,0.5,0.996
no_frameaug,0,0.75,0.994
no_frameaug,0,1.0,0.997
no_frameaug,1,0.0,0.056
no_frameaug,1,0.1,0.972
no_frameaug,1,0.25,0.989
no_frameaug,1,0.5,0.995
no_frameaug,1,0.75,0.997
no_frameaug,1,1.0,0.997
no_frameaug,42,0.0,0.006
no_frameaug,42,0.1,0.97
no_frameaug,42,0.25,0.991
no_frameaug,42,0.5,0.992
no_frameaug,42,0.75,0.994
no_frameaug,42,1.0,0.997
