method,condition,seed,wf1
naive,Intact,42,61.53
naive,Intact,1,61.87
naive,Intact,2,61.92
naive,Intact,3,60.22
naive,Intact,123,59.08
naive,Drop-Text,42,37.69
naive,Drop-Text,1,45.71
naive,Drop-Text,2,35.3
naive,Drop-Text,3,35.53
naive,Drop-Text,123,26.89
naive,Drop-Audio,42,58.09
naive,Drop-Audio,1,57.99
naive,Drop-Audio,2,57.79
naive,Drop-Audio,3,58.01
naive,Drop-Audio,123,57.26
naive,Drop-Visual,42,59.26
naive,Drop-Visual,1,58.98
naive,Drop-Visual,2,59.72
naive,Drop-Visual,3,58.95
naive,Drop-Visual,123,58.11
cgma,Intact,42,60.53
cgma,Intact,1,61.62
cgma,Intact,2,61.45
cgma,Intact,3,61.35
cgma,Intact,123,60.19
cgma,Drop-Text,42,50.66
cgma,Drop-Text,1,48.66
cgma,Drop-Text,2,51.52
cgma,Drop-Text,3,52.88
cgma,Drop-Text,123,42.97
cgma,Drop-Audio,42,56.17
cgma,Drop-Audio,1,57.92
cgma,Drop-Audio,2,57.43
cgma,Drop-Audio,3,57.84
cgma,Drop-Audio,123,57.88
cgma,Drop-Visual,42,58.07
cgma,Drop-Visual,1,59.29
cgma,Drop-Visual,2,60.18
cgma,Drop-Visual,3,59.52
cgma,Drop-Visual,123,57.44
