video,total_frames,miss_frames,miss_rate
001,38418,15203,0.395726
002,3863,62,0.01605
003,1500,0,0.0
004,10317,3763,0.364738
005,3745,0,0.0
006,906,0,0.0
007,12555,22,0.001752
008,12952,3,0.000232
009,10850,800,0.073733
010,2466,812,0.329278
011,11543,7,0.000606
012,2845,0,0.0
013,98,47,0.479592
014,479,4,0.008351
015,412,32,0.07767
016,1084,0,0.0
017,2832,182,0.064266
018,26565,98,0.003689
019,331,4,0.012085
020,4896,317,0.064747
021,3901,1220,0.31274
022,9047,2925,0.323312
023,6848,6,0.000876
024,87,0,0.0
025,2012,0,0.0
026,10313,8353,0.809949
027,6370,0,0.0
028,7332,46,0.006274
029,6614,0,0.0
030,1145,0,0.0
031,1218,0,0.0
032,8026,451,0.056192
033,2013,0,0.0
034,9883,1082,0.109481
035,2000,0,0.0
036,2961,505,0.17055
037,17201,0,0.0
038,6162,0,0.0
039,12099,332,0.02744
040,6277,208,0.033137
041,4037,0,0.0
042,8929,5,0.00056
043,6740,0,0.0
044,14236,0,0.0
045,9245,1704,0.184316
046,265,0,0.0
047,6522,4164,0.638454
048,2239,1,0.000447
049,1901,0,0.0
050,22323,0,0.0
051,5807,157,0.027036
052,1675,43,0.025672
053,2575,0,0.0
054,5456,0,0.0
055,349,0,0.0
056,1217,429,0.352506
057,3848,0,0.0
058,3062,396,0.129327
059,4894,129,0.026359
060,6134,2074,0.338115
0602,15513,5774,0.372204
0603,2593,386,0.148862
0604,1377,495,0.359477
0605,6400,2930,0.457813
0606,21504,1267,0.058919
0607,10918,140,0.012823
0608,360,205,0.569444
0609,8765,6445,0.735311
061,1684,78,0.046318
0610,4854,1056,0.217553
0611,4549,501,0.110134
0612,3760,670,0.178191
0613,63,0,0.0
0614,6403,1752,0.273622
0615,35559,4336,0.121938
0616,42111,1718,0.040797
0617,6692,6080,0.908548
0618,11335,0,0.0
0619,8219,1555,0.189196
062,19071,3820,0.200304
0620,2544,2170,0.852987
0621,6105,192,0.03145
0622,1868,1720,0.920771
0623,206,79,0.383495
0624,31068,30625,0.985741
0625,8573,2974,0.346903
0626,5259,5100,0.969766
0627,2084,149,0.071497
0628,4652,4623,0.993766
0629,19022,18982,0.997897
063,15956,172,0.01078
0630,10931,8434,0.771567
0631,5727,2324,0.405797
0632,2175,218,0.10023
0633,11169,10919,0.977617
0634,5851,5694,0.973167
0635,4162,3990,0.958674
0636,4803,2351,0.489486
0637,5379,759,0.141104
0638,2332,915,0.392367
0639,2115,1317,0.622695
064,5822,0,0.0
0640,32471,19019,0.585723
0641,3956,2517,0.636249
0642,4062,565,0.139094
0643,2676,487,0.181988
0644,1542,874,0.566796
0645,3171,22,0.006938
0646,119,0,0.0
0647,18959,9340,0.492642
0648,2469,205,0.08303
0649,5937,1535,0.258548
065,1913,0,0.0
0650,10482,6660,0.635375
0651,3690,2368,0.641734
0652,10548,79,0.00749
0653,9494,8882,0.935538
0654,3983,1190,0.29877
0655,5666,1659,0.292799
0656,1740,107,0.061494
0657,285,0,0.0
0658,6012,1880,0.312708
0659,7905,948,0.119924
066,330,0,0.0
0660,2333,410,0.175739
0661,4172,724,0.173538
0662,14518,145,0.009988
0663,24823,6664,0.268461
0664,2019,36,0.017831
0665,1258,10,0.007949
0666,17089,1855,0.108549
0667,5906,4318,0.731121
0668,1188,187,0.157407
0669,15574,5382,0.345576
067,8841,73,0.008257
